run_name,operating_time,commission_time,target_design_cost,target_build_cost,ipd_target_cost,design_cost,build_cost,OM_per_year,revenue_per_year,discount_rate,contingency,ipd_contingency,profit_margin,actual_design_progress,actual_build_progress,target_design_progress,target_build_progress,vendor_design,AE_design,constructor_design,utility_design,vendor_build,AE_build,constructor_build,utility_build,vendor_om,AE_om,constructor_om,utility_om,vendor_rev,AE_rev,constructor_rev,utility_rev,vendor_pool,AE_pool,constructor_pool,utility_pool
1000 MWe Stick Built - IPD To Plan,60,1,187173913,1845000000,2032173913,187173913,1845000000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
1000 MWe Stick Built - IPD Slightly Over Budget,60,1,187173913,1845000000,2032173913,187173913,1900350000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
1000 MWe Stick Built - IPD Moderately Over Budget,60,1,187173913,1845000000,2032173913,187173913,2029500000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
1000 MWe Stick Built - IPD Extremely Over Budget,60,1,187173913,1845000000,2032173913,187173913,2167875000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
1000 MWe Stick Built - IPD Slightly Under Budget,60,1,187173913,1845000000,2032173913,187173913,1789650000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
1000 MWe Stick Built - IPD Moderately Under Budget,60,1,187173913,1845000000,2032173913,187173913,1660500000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
1000 MWe Stick Built - IPD Extremely Under Budget,60,1,187173913,1845000000,2032173913,187173913,1522125000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
250 MWe Stick Built,30,1,327757246.4,3230750000,3558507246,327757246.4,3230750000,46652500,114480000,0.096,0.1,0.1,0.1,"25,50,75,100","15,30,45,60,80,100","25,50,75,100","15,30,45,60,80,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
250 MWe Modularized,30,1,231278985.5,2279750000,2511028986,231278985.5,2279750000,46652500,114480000,0.096,0.1,0.1,0.1,"25,50,75,100","15,30,45,60,80,100","25,50,75,100","15,30,45,60,80,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
250 MWe Stick Built - IPD,30,1,327757246.4,3230750000,3558507246,327757246.4,3230750000,46652500,114480000,0.096,0.04,0.1,0.1,"25,50,75,100","15,30,45,60,80,100","25,50,75,100","15,30,45,60,80,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
250 MWe Modularized - IPD,30,1,231278985.5,2279750000,2511028986,231278985.5,2279750000,46652500,114480000,0.096,0.04,0.1,0.1,"25,50,75,100","15,30,45,60,80,100","25,50,75,100","15,30,45,60,80,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5
