run_name,operating_time,commission_time,target_design_cost,target_build_cost,ipd_target_cost,design_cost,build_cost,OM_per_year,revenue_per_year,discount_rate,contingency,ipd_contingency,profit_margin,actual_design_progress,actual_build_progress,target_design_progress,target_build_progress,vendor_design,AE_design,constructor_design,utility_design,vendor_build,AE_build,constructor_build,utility_build,vendor_om,AE_om,constructor_om,utility_om,vendor_rev,AE_rev,constructor_rev,utility_rev,vendor_pool,AE_pool,constructor_pool,utility_pool,fixed_price_npv_vendor,fixed_price_npv_AE,fixed_price_npv_constructor,fixed_price_npv_utility,fixed_price_npv_total,cost_plus_npv_vendor,cost_plus_npv_AE,cost_plus_npv_constructor,cost_plus_npv_utility,cost_plus_npv_total,ipd_npv_vendor,ipd_npv_AE,ipd_npv_constructor,ipd_npv_utility,ipd_npv_total
1000 MWe Stick Built - Moderately Over Budget,60,1,187173913,1845000000,2032173913,187173913,2029500000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,29359.33395974338,14387948.286313027,-31459714.62575382,-329382223.28648615,-346424630.2919672,21217536.838249885,35122812.21657126,62765556.25599253,-465530535.60278124,-346424630.2919676,16582458.60627183,32919849.304142103,37020558.332281485,-432947496.5346632,-346424630.2919678
1000 MWe Stick Built - Extremely Over Budget,60,1,187173913,1845000000,2032173913,187173913,2167875000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,-11641921.788022324,-1173759.8763297498,-74254412.07302141,-337163077.3678076,-424233171.1051811,22384664.950448092,36678983.032835536,67045026.000719294,-550341845.0891844,-424233171.10518146,9010071.6746688,22823333.395338047,9255139.583070371,-465321715.75825876,-424233171.1051815
1000 MWe Stick Built - Slightly Under Budget,60,1,187173913,1845000000,2032173913,187173913,1789650000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,20259579.945395336,41361575.76822713,42717760.94950998,-315895409.54552937,-211556492.88239694,19194514.777106326,32425449.468379844,55347808.69846616,-318524265.826349,-211556492.8823967,28698277.696836684,48401173.697641626,80099026.2098454,-368754970.48672044,-211556492.88239673
1000 MWe Stick Built - Moderately Under Budget,60,1,187173913,1845000000,2032173913,187173913,1660500000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,31152775.659245282,55885836.72002706,82659478.56695974,-308633279.06962943,-138935188.12339735,18105195.205721334,30973023.373199843,51353636.93672115,-239367043.63903964,-138935188.1233973,33409985.120945238,53112881.12175018,94234148.48217104,-319692202.848264,-138935188.12339753
1000 MWe Stick Built - Extremely Under Budget,60,1,187173913,1845000000,2032173913,187173913,1522125000,186610000,457920000,0.096,0.1,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,42824056.78122735,71447544.88266982,125454176.01422733,-300852424.98830795,-61126647.31018345,16938067.093523122,29416852.556935567,47074167.19199439,-154555734.15263665,-61126647.31018357,38458243.07534726,58161139.076152205,109378922.3453771,-267124951.80705982,-61126647.31018326
1000 MWe Stick Built - IPD To Plan,60,1,187173913,1845000000,2032173913,187173913,1845000000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,1103240.826421626,2758102.0660540164,6067824.545319021,-252609076.645477,-242679909.20768234,12014335.252165657,30035838.13041412,66078843.886911064,-350808926.4771731,-242679909.20768225,11239478.803508084,28098697.008770224,61817133.419294484,-343835218.43925524,-242679909.20768243
1000 MWe Stick Built - IPD Slightly Over Budget,60,1,187173913,1845000000,2032173913,187173913,1900350000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,-2009100.8061069176,-5022752.015267342,-11050054.433588147,-255721418.27800578,-273803325.53296816,12325569.415418508,30813923.538546264,67790631.78480181,-384733450.2717346,-273803325.532968,9220175.621747278,23050439.0543682,50710965.919610016,-356784906.1286936,-273803325.5329681
1000 MWe Stick Built - IPD Moderately Over Budget,60,1,187173913,1845000000,2032173913,187173913,2029500000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,-9271231.282006882,-23178078.20501724,-50991772.05103779,-262983548.75390545,-346424630.29196733,13051782.463008506,32629456.157521255,71784803.54654677,-463890672.4590444,-346424630.29196787,4508468.197638724,11271170.494096823,24796575.087012976,-387000844.0707158,-346424630.2919673
1000 MWe Stick Built - IPD Extremely Over Budget,60,1,187173913,1845000000,2032173913,187173913,2167875000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,-17052085.363328256,-42630213.408320665,-93786469.49830538,-270764402.83522666,-424233171.105181,13829867.871140646,34574669.67785161,76064273.29127353,-548701981.9454471,-424233171.1051813,1816063.9552909806,4540159.888227463,9988351.754100412,-440577746.7028004,-424233171.1051815
1000 MWe Stick Built - IPD Slightly Under Budget,60,1,187173913,1845000000,2032173913,187173913,1789650000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,4215582.458950169,10538956.147375405,23185703.52422601,-249496735.0129484,-211556492.88239682,11703101.0889128,29257752.722281996,64367055.9890204,-316884402.68261194,-211556492.88239676,13258781.985268893,30118000.190531045,67875042.96457687,-322808318.02277374,-211556492.88239694
1000 MWe Stick Built - IPD Moderately Under Budget,60,1,187173913,1845000000,2032173913,187173913,1660500000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,11477712.934850134,28694282.3371253,63127421.14167577,-242234604.53704846,-138935188.12339726,10976888.041322798,27442220.103307,60372884.227275394,-237727180.49530226,-138935188.12339705,17970489.409377445,34829707.61463958,82010165.23690256,-273745550.3843168,-138935188.1233972
1000 MWe Stick Built - IPD Extremely Under Budget,60,1,187173913,1845000000,2032173913,187173913,1522125000,186610000,457920000,0.096,0.04,0.1,0.1,"25,50,75,100","30,41.67,53.33,65,76.67,83.33,100","25,50,75,100","30,41.67,53.33,65,76.67,83.33,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,19258567.016171515,48146417.54042876,105922118.58894333,-234453750.45572692,-61126647.31018332,10198802.63319066,25497006.582976654,56093414.48254863,-152915871.00889933,-61126647.31018338,23018747.363779463,39877965.56904159,97154939.1001086,-221178299.34311306,-61126647.31018342
250 MWe Stick Built,30,1,327757246.4,3230750000,3558507246,327757246.4,3230750000,46652500,114480000,0.096,0.1,0.1,0.1,"25,50,75,100","15,30,45,60,80,100","25,50,75,100","15,30,45,60,80,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,25847547.45207414,59589355.25631526,39497231.6197952,-1936802062.2360516,-1811867927.907867,33736455.31372847,56946682.63428078,97377903.2751902,-1999928969.131067,-1811867927.9078677,50111656.43643693,85744592.8422538,142098828.22752538,-2089823005.414083,-1811867927.907867
250 MWe Modularized,30,1,231278985.5,2279750000,2511028986,231278985.5,2279750000,46652500,114480000,0.096,0.1,0.1,0.1,"25,50,75,100","15,30,45,60,80,100","25,50,75,100","15,30,45,60,80,100",0.25,0.75,0,0,0.15,0.2,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,18239091.94470559,42048698.486438066,27870870.16489297,-1294335727.434828,-1206177066.8387914,23805829.60606727,40183920.05896142,68713851.27032883,-1338880667.774149,-1206177066.8387914,35360844.62069922,60504909.239092745,100270774.17061086,-1402313594.8691945,-1206177066.8387916
250 MWe Stick Built - IPD,30,1,327757246.4,3230750000,3558507246,327757246.4,3230750000,46652500,114480000,0.096,0.04,0.1,0.1,"25,50,75,100","15,30,45,60,80,100","25,50,75,100","15,30,45,60,80,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,1267308.9461178482,3168272.3652945757,6970199.20364821,-1823273708.4229279,-1811867927.9078672,20576611.454596132,51441528.63649033,113171363.00027871,-1997057430.9992325,-1811867927.9078674,21265385.966512725,53163464.91628181,116959622.81581996,-2003256401.6064816,-1811867927.907867
250 MWe Modularized - IPD,30,1,231278985.5,2279750000,2511028986,231278985.5,2279750000,46652500,114480000,0.096,0.04,0.1,0.1,"25,50,75,100","15,30,45,60,80,100","25,50,75,100","15,30,45,60,80,100",0.1,0.25,0.55,0.1,0.1,0.25,0.55,0.1,0,0,0,1,0,0,0,1,0.1,0.1,0.3,0.5,894265.2848254442,2235663.21206367,4918459.066540003,-1214225454.4022207,-1206177066.8387916,14519702.843905367,36299257.109763406,79858365.64147952,-1336854392.43394,-1206177066.8387916,15005730.451572336,37514326.128930844,82531517.48364787,-1341228640.9029427,-1206177066.8387916
